iter	Passed	Remaining
0	57	57770
1	58	29088
2	58	19487
3	58	14676
4	59	11788
5	59	9862
6	59	8489
7	60	7459
8	60	6656
9	60	6012
10	61	5488
11	61	5051
12	61	4679
13	61	4361
14	62	4086
15	62	3844
16	62	3631
17	63	3441
18	63	3271
19	63	3118
20	63	2980
21	64	2854
22	64	2740
23	64	2635
24	65	2538
25	65	2448
26	65	2365
27	65	2288
28	66	2218
29	66	2151
30	66	2088
31	67	2029
32	67	1973
33	67	1921
34	67	1873
35	68	1826
36	68	1783
37	68	1740
38	69	1701
39	69	1663
40	69	1628
41	69	1594
42	70	1562
43	70	1530
44	70	1500
45	70	1472
46	71	1445
47	71	1420
48	71	1396
49	72	1372
50	72	1349
51	72	1326
52	73	1304
53	73	1284
54	73	1264
55	73	1245
56	74	1226
57	74	1208
58	74	1191
59	74	1174
60	75	1158
61	75	1142
62	75	1126
63	76	1112
64	76	1097
65	76	1083
66	76	1070
67	76	1054
68	77	1041
69	77	1029
70	77	1017
71	77	1005
72	78	993
73	78	982
74	78	971
75	79	960
76	79	950
77	79	941
78	79	931
79	80	921
80	80	912
81	80	904
82	81	895
83	81	886
84	81	877
85	81	869
86	81	859
87	82	851
88	82	843
89	82	835
90	82	828
91	83	820
92	83	813
93	83	806
94	83	799
95	84	792
96	84	786
97	84	779
98	84	772
99	85	766
100	85	760
101	85	752
102	85	747
103	86	741
104	86	736
105	86	730
106	86	725
107	87	719
108	87	714
109	87	709
110	87	704
111	88	699
112	88	694
113	88	689
114	88	684
115	89	679
116	89	674
117	89	670
118	89	665
119	90	660
120	90	656
121	90	652
122	90	646
123	90	642
124	91	638
125	91	634
126	91	631
127	91	626
128	92	622
129	92	618
130	92	615
131	92	611
132	93	607
133	93	604
134	93	600
135	94	597
136	94	593
137	94	589
138	94	586
139	94	583
140	95	580
141	95	576
142	95	573
143	95	570
144	96	567
145	96	564
146	96	561
147	97	558
148	97	555
149	97	552
150	97	549
151	98	547
152	98	544
153	98	541
154	98	539
155	99	536
156	99	533
157	99	531
158	99	528
159	100	525
160	100	523
161	100	520
162	100	518
163	101	515
164	101	513
165	101	510
166	101	508
167	102	506
168	102	503
169	102	501
170	102	499
171	103	497
172	103	494
173	103	492
174	104	490
175	104	488
176	104	486
177	104	484
178	105	482
179	105	480
180	105	477
181	105	475
182	106	473
183	106	471
184	106	469
185	106	467
186	107	465
187	107	463
188	107	461
189	107	459
190	108	457
191	108	455
192	108	454
193	108	452
194	109	450
195	109	448
196	109	447
197	109	445
198	110	443
199	110	441
200	110	440
201	111	438
202	111	436
203	111	435
204	111	433
205	112	431
206	112	430
207	112	428
208	112	427
209	113	425
210	113	423
211	113	422
212	113	420
213	114	419
214	114	417
215	114	416
216	114	414
217	115	413
218	115	411
219	115	410
220	116	409
221	116	407
222	116	406
223	116	404
224	117	403
225	117	402
226	117	400
227	117	399
228	118	397
229	118	396
230	118	395
231	118	393
232	119	392
233	119	391
234	119	389
235	120	388
236	120	387
237	120	386
238	120	384
239	121	383
240	121	382
241	121	380
242	121	379
243	122	378
244	122	377
245	122	375
246	122	374
247	123	373
248	123	372
249	123	371
250	123	369
251	124	368
252	124	367
253	124	366
254	124	365
255	125	363
256	125	362
257	125	361
258	125	360
259	126	359
260	126	358
261	126	356
262	126	355
263	127	354
264	127	353
265	127	352
266	128	351
267	128	350
268	128	349
269	128	348
270	129	347
271	129	346
272	129	345
273	129	344
274	130	343
275	130	342
276	130	340
277	130	339
278	131	338
279	131	338
280	131	337
281	131	336
282	132	335
283	132	334
284	132	333
285	132	332
286	133	330
287	133	330
288	133	329
289	134	328
290	134	327
291	134	326
292	134	325
293	135	324
294	135	323
295	135	322
296	135	321
297	136	320
