iter	Passed	Remaining
0	0	524
1	0	438
2	1	386
3	1	365
4	1	352
5	2	339
6	2	329
7	2	323
8	2	318
9	3	314
10	3	309
11	3	305
12	3	302
13	4	302
14	4	300
15	4	301
16	5	309
17	5	315
18	6	320
19	6	318
20	6	317
21	7	315
22	7	314
23	7	314
24	8	312
25	8	310
26	8	308
27	8	306
28	9	304
29	9	302
30	9	301
31	9	299
32	10	297
33	10	296
34	10	294
35	11	295
36	11	294
37	11	294
38	11	293
39	12	292
40	12	290
41	12	289
42	12	289
43	13	287
44	13	286
45	13	285
46	14	285
47	14	284
48	14	283
49	14	282
50	15	281
51	15	281
52	15	280
53	16	280
54	16	280
55	16	279
56	16	278
57	17	277
58	17	276
59	17	275
60	17	275
61	18	274
62	18	273
63	18	272
64	18	272
65	19	272
66	19	271
67	19	271
68	20	270
69	20	270
70	20	269
71	20	268
72	21	267
73	21	266
74	21	266
75	21	265
76	22	264
77	22	264
78	22	263
79	22	262
80	23	262
81	23	261
82	23	258
83	23	258
84	23	257
85	24	257
86	24	257
87	24	256
88	24	255
89	25	255
90	25	254
91	25	254
92	26	253
93	26	253
94	26	252
95	26	252
96	27	251
97	27	250
98	27	250
99	27	250
100	28	249
101	28	248
102	28	248
103	28	247
104	29	247
105	29	247
106	29	246
107	29	246
108	30	246
109	30	245
110	30	245
111	30	245
112	31	244
113	31	244
114	31	244
115	31	243
116	32	242
117	32	242
118	32	242
119	32	241
120	33	241
121	33	240
122	33	240
123	34	240
124	34	240
125	34	239
126	34	239
127	35	238
128	35	238
129	35	238
130	35	238
131	36	237
132	36	237
133	36	237
134	36	236
135	37	236
136	37	236
137	37	236
138	38	235
139	38	235
140	38	235
141	38	234
142	39	233
143	39	233
144	39	233
145	39	232
146	40	232
147	40	232
148	40	232
149	40	231
150	41	231
151	41	231
152	41	231
153	42	230
154	42	230
155	42	230
156	42	230
157	43	230
158	43	229
159	43	229
160	43	228
161	44	228
162	44	228
163	44	228
164	45	227
165	45	227
166	45	227
167	45	227
168	46	227
169	46	226
170	46	226
171	47	226
172	47	226
173	47	225
174	47	225
175	48	225
176	48	224
177	48	224
178	48	224
179	49	224
180	49	224
181	49	223
182	50	223
183	50	223
184	50	223
185	51	223
186	51	223
187	51	223
188	52	223
189	52	223
190	52	223
191	53	223
192	53	223
193	53	223
194	53	222
195	54	222
196	54	222
197	54	221
198	55	221
199	55	221
200	55	221
201	55	220
202	56	220
203	56	220
204	56	219
205	56	219
206	57	219
207	57	219
208	57	219
209	58	219
210	58	218
211	58	219
212	59	219
213	59	219
214	59	218
215	60	218
216	60	218
217	60	218
218	61	217
219	61	217
220	61	217
221	62	217
222	62	217
223	62	217
224	62	216
225	63	216
226	63	216
227	63	215
228	64	215
229	64	215
230	64	215
231	65	215
232	65	215
233	65	215
234	66	215
235	66	215
236	66	215
237	67	214
238	67	214
239	67	214
240	67	214
241	68	213
242	68	213
243	68	213
244	69	213
245	69	213
246	69	212
247	70	212
248	70	212
249	70	212
250	70	211
251	71	211
252	71	211
253	71	210
254	71	210
255	72	210
256	72	209
257	72	209
258	73	209
259	73	209
260	73	208
261	74	208
262	74	208
263	74	207
264	74	207
265	75	207
266	75	206
267	75	206
268	75	206
269	76	205
270	76	205
271	76	205
272	77	205
273	77	205
274	78	205
275	78	205
276	78	205
277	78	205
278	79	204
279	79	204
280	79	204
281	80	204
282	80	203
283	80	203
284	81	203
285	81	203
286	81	202
287	81	202
288	82	202
289	82	201
290	82	201
291	82	201
292	83	200
293	83	200
294	83	200
295	84	200
296	84	199
297	84	199
298	85	199
299	85	199
300	85	198
301	85	198
302	86	198
303	86	197
304	86	197
305	86	197
306	87	197
307	87	196
308	87	196
309	88	196
310	88	195
311	88	195
312	89	195
313	89	195
314	89	194
315	89	194
316	90	194
317	90	194
318	90	194
319	91	193
320	91	193
321	91	193
322	91	192
323	92	192
324	92	192
325	92	192
326	93	192
327	93	191
328	93	191
329	94	191
330	94	190
331	94	190
332	94	190
333	95	189
334	95	189
335	95	189
336	96	189
337	96	189
338	96	188
339	97	188
340	97	188
341	97	188
342	98	187
343	98	187
344	98	187
345	98	187
346	99	186
347	99	186
348	99	186
349	100	185
350	100	185
351	100	185
352	100	184
353	101	184
354	101	184
355	101	183
356	101	183
357	102	183
358	102	183
359	102	182
360	103	182
361	103	182
362	103	181
363	103	181
364	104	181
365	104	180
366	104	180
367	104	180
368	105	180
369	105	179
370	105	179
371	106	179
372	106	178
373	106	178
374	106	178
375	107	177
376	107	177
377	107	177
378	107	176
379	108	176
380	108	176
381	108	176
382	109	175
383	109	175
384	109	175
385	109	174
386	110	174
387	110	174
388	110	173
389	110	173
390	111	173
391	111	173
392	111	172
393	112	172
394	112	172
395	112	171
396	112	171
397	113	171
398	113	170
399	113	170
400	114	170
401	114	169
402	114	169
403	114	169
404	115	169
405	115	168
406	115	168
407	115	168
408	116	167
409	116	167
410	116	167
411	117	167
412	117	166
413	117	166
414	117	166
415	118	165
416	118	165
417	118	165
418	118	164
419	119	164
420	119	164
421	119	163
422	119	163
423	120	163
424	120	163
425	120	162
426	121	162
427	121	162
428	121	162
429	121	161
430	122	161
431	122	161
432	122	160
433	123	160
434	123	160
435	123	159
436	123	159
437	124	159
438	124	159
439	124	158
440	125	158
441	125	158
442	125	157
443	125	157
444	126	157
445	126	157
446	126	156
447	127	156
448	127	156
449	127	155
450	127	155
451	128	155
452	128	155
453	128	154
454	128	154
455	129	154
456	129	153
457	129	153
458	130	153
459	130	153
460	130	152
461	130	152
462	131	152
463	131	151
464	131	151
465	132	151
466	132	151
467	132	150
468	132	150
469	133	150
470	133	149
471	133	149
472	133	149
473	134	148
474	134	148
475	134	148
476	135	148
477	135	147
478	135	147
479	135	147
480	136	146
481	136	146
482	136	146
483	137	146
484	137	145
485	137	145
486	138	145
487	138	145
488	138	144
489	138	144
490	139	144
491	139	143
492	139	143
493	140	143
494	140	143
495	140	142
496	140	142
497	141	142
498	141	141
499	141	141
500	141	141
501	142	141
502	142	140
503	142	140
504	142	140
505	143	139
506	143	139
507	143	139
508	144	138
509	144	138
510	144	138
511	144	138
512	145	137
513	145	137
514	145	137
515	146	137
516	146	136
517	146	136
518	146	136
519	147	135
520	147	135
521	147	135
522	148	135
523	148	134
524	148	134
525	148	134
526	149	133
527	149	133
528	149	133
529	149	132
530	150	132
531	150	132
532	150	132
533	151	131
534	151	131
535	151	131
536	152	131
537	152	130
538	152	130
539	152	130
540	153	129
541	153	129
542	153	129
